gene	gene_name	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
ENSG00000087116.16	ADAMTS2	85.42115593	8.326125034	0.517264345	16.09646037	2.70E-58	1.06E-54
ENSG00000204936.10	CD177	350.7023753	8.092945752	0.499003083	16.21822797	3.75E-59	1.97E-55
ENSG00000152463.15	OLAH	43.32849716	7.995031197	0.616031727	12.97827831	1.62E-38	2.13E-35
ENSG00000135424.18	ITGA7	81.12966875	6.502906506	0.466392116	13.94300263	3.47E-44	5.82E-41
ENSG00000169174.11	PCSK9	10.16284682	5.964987654	0.690203226	8.6423642	5.51E-18	2.95E-16
ENSG00000078053.17	AMPH	9.787236845	5.860453174	0.564548535	10.38077829	3.03E-25	5.26E-23
ENSG00000118113.12	MMP8	91.84520741	5.47786106	0.502174712	10.90827739	1.05E-27	2.67E-25
ENSG00000108950.12	FAM20A	28.67698057	5.43899804	0.540003247	10.07215803	7.34E-24	9.54E-22
ENSG00000163958.14	ZDHHC19	38.64929858	5.387291127	0.492401738	10.94084506	7.35E-28	1.96E-25
ENSG00000159189.12	C1QC	19.87094647	5.284692936	0.483733248	10.92480815	8.77E-28	2.26E-25
ENSG00000088340.17	FER1L4	8.653674836	5.233921365	0.523496624	9.998004055	1.55E-23	1.93E-21
ENSG00000121454.6	LHX4	4.971007224	5.166537732	0.683565405	7.558220025	4.09E-14	1.17E-12
ENSG00000188523.9	CFAP77	5.236092124	5.131385477	0.767986317	6.68161055	2.36E-11	3.80E-10
ENSG00000175592.9	FOSL1	14.47493935	5.000687767	0.446158732	11.20831535	3.71E-29	1.22E-26
ENSG00000103175.11	WFDC1	11.51999996	4.978748524	0.585976087	8.496504612	1.95E-17	9.46E-16
ENSG00000186417.14	GLDN	5.007306541	4.922858682	0.549761126	8.954541245	3.41E-19	2.18E-17
ENSG00000173369.17	C1QB	29.47031992	4.843028133	0.467769467	10.35345073	4.04E-25	6.76E-23
ENSG00000183873.18	SCN5A	5.238572248	4.745885303	0.791606794	5.995255899	2.03E-09	2.26E-08
ENSG00000146122.17	DAAM2	174.8548627	4.537506274	0.420726018	10.78494335	4.05E-27	9.53E-25
ENSG00000186583.12	SPATC1	13.1518089	4.506999755	0.477874407	9.43134784	4.05E-21	3.52E-19
ENSG00000115884.11	SDC1	12.81872584	4.450182534	0.62429092	7.1283794	1.02E-12	2.18E-11
ENSG00000012223.13	LTF	338.8680234	4.418116926	0.471303428	9.374251626	6.97E-21	5.83E-19
ENSG00000163959.10	SLC51A	8.296063921	4.346617942	0.51330045	8.467979993	2.50E-17	1.18E-15
ENSG00000156113.24	KCNMA1	44.77244825	4.321918354	0.526850613	8.203308961	2.34E-16	9.64E-15
ENSG00000126266.3	FFAR1	6.252632501	4.320153335	0.515870764	8.374487643	5.55E-17	2.50E-15
ENSG00000177606.8	JUN	530.6215928	4.311437307	0.292580118	14.73592034	3.79E-49	8.52E-46
ENSG00000266265.4	KLF14	2.520352877	4.302866608	0.595521924	7.225370615	5.00E-13	1.15E-11
ENSG00000125968.9	ID1	8.348112746	4.283957019	0.405968863	10.55242755	4.95E-26	9.86E-24
ENSG00000065618.21	COL17A1	3.142910331	4.236400249	0.698428974	6.065613555	1.31E-09	1.52E-08
ENSG00000244242.2	IFITM10	16.66114029	4.212474424	0.457325257	9.211112561	3.23E-20	2.48E-18
ENSG00000288393.1	ZNF75CP	2.411928581	4.201203735	0.740039526	5.676999118	1.37E-08	1.27E-07
ENSG00000101187.16	SLCO4A1	11.41911533	4.15239927	0.425123635	9.767509802	1.55E-22	1.65E-20
ENSG00000103723.17	AP3B2	18.87611995	4.152144236	0.462012374	8.987084482	2.54E-19	1.68E-17
ENSG00000109321.11	AREG	22.51634022	4.144973211	0.371340534	11.16218895	6.24E-29	1.97E-26
ENSG00000178342.4	KCNG2	6.747835943	4.137379838	0.595088225	6.952548658	3.59E-12	6.95E-11
ENSG00000179869.15	ABCA13	142.9039301	4.134675975	0.428723274	9.644160283	5.20E-22	5.12E-20
ENSG00000111641.12	NOP2	7.450797311	4.07122873	0.399506687	10.19063977	2.18E-24	3.12E-22
ENSG00000161835.11	TAMALIN	103.917497	4.034778276	0.306597956	13.15983422	1.49E-39	2.14E-36
ENSG00000122861.16	PLAU	13.50400225	4.021669393	0.499234377	8.055674003	7.90E-16	3.02E-14
ENSG00000100906.11	NFKBIA	2594.236743	4.012767716	0.234575975	17.10647358	1.33E-65	2.09E-61
ENSG00000115414.21	FN1	28.74916524	4.01131612	0.544061734	7.37290618	1.67E-13	4.27E-12
ENSG00000139572.4	GPR84	16.29200549	4.007101049	0.361944575	11.07103496	1.73E-28	5.05E-26
ENSG00000260001.7	TGFBR3L	2.592383949	3.995082689	0.50380508	7.929818196	2.19E-15	7.94E-14
ENSG00000136244.12	IL6	5.599809198	3.90636092	0.531329797	7.352045649	1.95E-13	4.91E-12
ENSG00000162949.16	CAPN13	6.628619997	3.82146723	0.519810469	7.351654987	1.96E-13	4.91E-12
ENSG00000167680.17	SEMA6B	19.79398381	3.776300211	0.379412033	9.953032266	2.45E-23	2.92E-21
ENSG00000211974.3	IGHV2-70D	3.350429396	3.76795585	0.648033183	5.814448934	6.08E-09	6.11E-08
ENSG00000054598.9	FOXC1	6.691644116	3.712603284	0.473048807	7.848245742	4.22E-15	1.42E-13
ENSG00000170439.7	METTL7B	4.87053332	3.686322171	0.572717759	6.436542456	1.22E-10	1.74E-09
ENSG00000196415.10	PRTN3	3.649129572	3.683765783	0.632024647	5.828516022	5.59E-09	5.67E-08
ENSG00000118503.15	TNFAIP3	1681.466699	3.681181334	0.248396074	14.81980482	1.09E-49	2.86E-46
ENSG00000108821.14	COL1A1	4.714999873	3.680039878	0.678066717	5.427253376	5.72E-08	4.65E-07
ENSG00000173372.17	C1QA	34.29322189	3.673552507	0.427016635	8.602832315	7.78E-18	4.01E-16
ENSG00000211946.3	IGHV3-20	21.20957103	3.650999496	0.506589446	7.207018475	5.72E-13	1.29E-11
ENSG00000115590.14	IL1R2	1083.410706	3.632751989	0.321326341	11.30549078	1.23E-29	4.41E-27
ENSG00000079215.15	SLC1A3	22.20611381	3.631985695	0.369576147	9.827435371	8.58E-23	9.64E-21
ENSG00000162510.6	MATN1	6.337276693	3.60725907	0.488657137	7.381983802	1.56E-13	4.00E-12
ENSG00000133101.10	CCNA1	6.9879238	3.605138113	0.596647897	6.042320994	1.52E-09	1.74E-08
ENSG00000179094.16	PER1	641.4751422	3.567237237	0.21480541	16.60683148	6.22E-62	4.89E-58
ENSG00000130222.11	GADD45G	13.67382198	3.56653283	0.399603867	8.925170971	4.45E-19	2.77E-17
ENSG00000106070.20	GRB10	228.8681235	3.548256893	0.236503232	15.00299537	7.02E-51	2.21E-47
ENSG00000124469.12	CEACAM8	27.23266515	3.546560239	0.528730521	6.707689637	1.98E-11	3.22E-10
ENSG00000158089.15	GALNT14	44.45479271	3.534150265	0.304873205	11.59219703	4.51E-31	1.97E-28
ENSG00000221949.6	LINC01465	8.464723735	3.517513715	0.469258551	7.495896898	6.58E-14	1.81E-12
ENSG00000100985.7	MMP9	741.6185966	3.508074727	0.286265656	12.25461265	1.59E-34	1.37E-31
ENSG00000158104.11	HPD	3.686313074	3.494052325	0.562683254	6.209625572	5.31E-10	6.66E-09
ENSG00000066735.15	KIF26A	9.994917154	3.489861841	0.532033403	6.55947882	5.40E-11	8.09E-10
ENSG00000102837.7	OLFM4	22.27543242	3.489790532	0.510639025	6.834163393	8.25E-12	1.46E-10
ENSG00000095203.15	EPB41L4B	1.226879895	3.486588587	0.998390753	3.492208411	0.000479044	0.001626436
ENSG00000120738.8	EGR1	221.3971661	3.473700458	0.300018663	11.57828124	5.31E-31	2.20E-28
ENSG00000183160.9	TMEM119	25.76885916	3.458198263	0.345627675	10.00555948	1.44E-23	1.80E-21
ENSG00000178752.16	ERFE	14.74163493	3.441780959	0.531607948	6.474284242	9.53E-11	1.37E-09
ENSG00000100234.12	TIMP3	3.421982318	3.426469854	0.52752654	6.495350651	8.28E-11	1.21E-09
ENSG00000123838.11	C4BPA	15.71920795	3.422696033	0.586553796	5.83526363	5.37E-09	5.47E-08
ENSG00000172232.10	AZU1	19.42571238	3.404726219	0.476588448	7.143954572	9.07E-13	1.97E-11
ENSG00000101203.16	COL20A1	1.998731956	3.393566449	0.642963048	5.278011635	1.31E-07	9.92E-07
ENSG00000113073.15	SLC4A9	5.084000711	3.392302994	0.598688041	5.666228088	1.46E-08	1.35E-07
ENSG00000125740.14	FOSB	250.3430723	3.372618401	0.34670151	9.727729208	2.30E-22	2.35E-20
ENSG00000183876.9	ARSI	1.10694496	3.346162325	0.955346911	3.502562564	0.000460806	0.001572654
ENSG00000257017.9	HP	29.56323022	3.342278311	0.508091786	6.578099474	4.76E-11	7.21E-10
ENSG00000099998.19	GGT5	9.333879312	3.338321777	0.454834671	7.339637869	2.14E-13	5.35E-12
ENSG00000091536.19	MYO15A	5.028748657	3.334598067	0.491882526	6.77925702	1.21E-11	2.07E-10
ENSG00000187323.12	DCC	2.565627961	3.329555	0.935955661	3.557385397	0.000374564	0.00130608
ENSG00000104067.17	TJP1	2.748653679	3.309733595	0.538774774	6.143074539	8.09E-10	9.80E-09
ENSG00000181577.16	C6orf223	3.996762851	3.303461271	0.732328637	4.51090003	6.46E-06	3.38E-05
