"num_sig"	"num_up"	"num_down"	"total_genes"
167	93	74	5787
172	94	78	5787
181	97	84	5787
194	102	92	5787
192	116	76	5787
183	101	82	5787
190	98	92	5787
199	97	102	5787
205	113	92	5787
201	121	80	5787
200	116	84	5787
217	127	90	5787
222	124	98	5787
200	114	86	5787
177	91	86	5787
165	93	72	5787
215	121	94	5787
180	110	70	5787
231	149	82	5787
224	128	96	5787
223	120	103	5787
212	128	84	5787
219	131	88	5787
136	77	59	5787
204	124	80	5787
178	102	76	5787
154	97	57	5787
177	99	78	5787
193	133	60	5787
167	107	60	5787
164	101	63	5787
194	107	87	5787
191	105	86	5787
181	107	74	5787
178	94	84	5787
169	94	75	5787
187	120	67	5787
140	73	67	5787
216	126	90	5787
198	106	92	5787
212	124	88	5787
167	99	68	5787
176	100	76	5787
225	132	93	5787
229	135	94	5787
211	124	87	5787
192	119	73	5787
168	96	72	5787
176	100	76	5787
214	126	88	5787
206	113	93	5787
184	107	77	5787
228	137	91	5787
207	127	80	5787
195	111	84	5787
185	99	86	5787
209	114	95	5787
173	94	79	5787
177	109	68	5787
203	108	95	5787
209	133	76	5787
210	126	84	5787
195	121	74	5787
170	112	58	5787
170	98	72	5787
221	135	86	5787
214	123	91	5787
165	98	67	5787
209	117	92	5787
191	112	79	5787
184	110	74	5787
214	136	78	5787
228	155	73	5787
223	125	98	5787
163	98	65	5787
238	157	81	5787
176	91	85	5787
156	87	69	5787
226	135	91	5787
186	109	77	5787
154	88	66	5787
159	96	63	5787
207	121	86	5787
214	111	103	5787
191	110	81	5787
178	96	82	5787
212	128	84	5787
182	105	77	5787
172	99	73	5787
202	126	76	5787
182	101	81	5787
159	102	57	5787
210	131	79	5787
175	89	86	5787
217	128	89	5787
184	104	80	5787
212	118	94	5787
184	99	85	5787
204	115	89	5787
219	116	103	5787
165	90	75	5787
186	107	79	5787
208	132	76	5787
193	105	88	5787
182	109	73	5787
215	122	93	5787
237	143	94	5787
218	116	102	5787
192	103	89	5787
225	133	92	5787
222	124	98	5787
178	96	82	5787
183	109	74	5787
194	121	73	5787
221	136	85	5787
214	129	85	5787
197	123	74	5787
202	111	91	5787
152	87	65	5787
216	127	89	5787
224	130	94	5787
198	120	78	5787
204	121	83	5787
222	128	94	5787
213	119	94	5787
176	112	64	5787
198	111	87	5787
195	111	84	5787
191	117	74	5787
216	125	91	5787
195	95	100	5787
227	126	101	5787
176	102	74	5787
200	108	92	5787
224	125	99	5787
148	80	68	5787
204	112	92	5787
168	105	63	5787
179	103	76	5787
218	129	89	5787
152	94	58	5787
178	109	69	5787
204	121	83	5787
202	132	70	5787
209	112	97	5787
176	105	71	5787
157	91	66	5787
190	107	83	5787
154	87	67	5787
221	125	96	5787
221	137	84	5787
219	138	81	5787
216	130	86	5787
220	131	89	5787
151	85	66	5787
186	112	74	5787
203	115	88	5787
211	118	93	5787
185	112	73	5787
196	120	76	5787
200	116	84	5787
216	141	75	5787
182	99	83	5787
198	101	97	5787
237	154	83	5787
169	93	76	5787
202	115	87	5787
213	118	95	5787
195	112	83	5787
229	128	101	5787
216	124	92	5787
191	119	72	5787
221	124	97	5787
194	116	78	5787
194	113	81	5787
212	135	77	5787
