gene	gene_name	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
ENSG00000096006.12	CRISP3	33.84829481	4.551077912	1.032755239	4.406734277	1.05E-05	0.006366195
ENSG00000178752.16	ERFE	16.00131924	4.350511932	0.808394399	5.381670058	7.38E-08	0.000284445
ENSG00000103723.17	AP3B2	21.21233911	2.997188209	0.738355814	4.059273525	4.92E-05	0.017699122
ENSG00000076864.20	RAP1GAP	254.6579091	2.982678323	0.741377633	4.023156607	5.74E-05	0.018915216
ENSG00000135424.18	ITGA7	91.19226998	2.868120135	0.730698408	3.925176384	8.67E-05	0.022712002
ENSG00000152463.15	OLAH	30.08566659	2.757475484	0.641367641	4.299367959	1.71E-05	0.008120269
ENSG00000118520.15	ARG1	136.058679	2.685317198	0.502750588	5.341251229	9.23E-08	0.000284445
ENSG00000174358.16	SLC6A19	24.67884398	2.593071041	0.655461154	3.956101786	7.62E-05	0.020413654
ENSG00000204936.10	CD177	164.6393707	2.387680436	0.615954274	3.876392354	0.000106017	0.024655879
ENSG00000103175.11	WFDC1	14.95593758	2.230195531	0.599770982	3.718411856	0.000200479	0.037441013
ENSG00000123836.15	PFKFB2	197.9347356	2.211499958	0.384627317	5.74972151	8.94E-09	0.000110183
ENSG00000137460.10	FHDC1	69.53122527	2.175447234	0.549676772	3.957684488	7.57E-05	0.020413654
ENSG00000240583.14	AQP1	20.8332359	2.098995765	0.543753879	3.860194562	0.000113297	0.025390838
ENSG00000135519.8	KCNH3	81.95616068	2.062672308	0.41437481	4.97779367	6.43E-07	0.001001178
ENSG00000100985.7	MMP9	625.0153161	1.841892401	0.460333391	4.001213984	6.30E-05	0.018915216
ENSG00000162366.8	PDZK1IP1	319.2481127	1.730993263	0.435985164	3.970303136	7.18E-05	0.020108537
ENSG00000106070.20	GRB10	252.8059404	1.724237442	0.409007196	4.215665296	2.49E-05	0.010039957
ENSG00000178814.17	OPLAH	59.69450813	1.567480563	0.386942887	4.050935202	5.10E-05	0.017699122
ENSG00000141562.18	NARF	263.8535179	0.953618771	0.262126954	3.638003483	0.00027476	0.043795699
ENSG00000051009.11	FAM160A2	178.7597983	0.81858044	0.210580751	3.88725198	0.000101385	0.024503482
ENSG00000183049.13	CAMK1D	280.4216613	0.732206742	0.194006352	3.774137976	0.000160562	0.032444029
ENSG00000127022.16	CANX	591.5053085	-0.487564111	0.121664963	-4.007432366	6.14E-05	0.018915216
ENSG00000204217.15	BMPR2	134.1942351	-0.60047275	0.164009388	-3.661209619	0.000251027	0.042926848
ENSG00000155313.16	USP25	399.9475745	-0.617793786	0.166345017	-3.713930229	0.000204065	0.037541883
ENSG00000055130.17	CUL1	98.40280487	-0.729648912	0.190343864	-3.833319838	0.000126425	0.027338939
ENSG00000153879.9	CEBPG	50.77579574	-0.732966468	0.195224844	-3.754473316	0.000173706	0.034467357
ENSG00000093072.18	ADA2	374.392257	-0.817425254	0.223033056	-3.665040818	0.000247299	0.042926848
ENSG00000151422.13	FER	55.71409345	-0.849264359	0.216908547	-3.915310715	9.03E-05	0.022712002
ENSG00000138760.11	SCARB2	101.575379	-0.851338943	0.233825761	-3.64091167	0.000271674	0.043795699
ENSG00000152558.15	TMEM123	470.9456641	-0.861030734	0.229928196	-3.744780978	0.000180551	0.034773035
