gene	gene_name	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
ENSG00000087116.16	ADAMTS2	76.25647212	7.877000411	0.857509854	9.18590075	4.08E-20	5.81E-17
ENSG00000204936.10	CD177	164.4245854	7.426263191	0.667103788	11.13209566	8.76E-29	3.00E-25
ENSG00000152463.15	OLAH	30.61345724	7.280627792	0.801543274	9.08326229	1.05E-19	1.20E-16
ENSG00000196415.10	PRTN3	11.10143727	6.644586701	1.057900762	6.280916833	3.37E-10	1.91E-08
ENSG00000135424.18	ITGA7	94.37892289	6.612595552	0.767145439	8.619741731	6.71E-18	4.18E-15
ENSG00000088340.17	FER1L4	9.790180608	6.489307905	0.848693257	7.646234784	2.07E-14	4.11E-12
ENSG00000078053.17	AMPH	10.96523618	6.4715526	0.829413297	7.802566736	6.07E-15	1.39E-12
ENSG00000169174.11	PCSK9	8.569707474	6.454493632	0.884916188	7.293903893	3.01E-13	4.30E-11
ENSG00000096006.12	CRISP3	36.13414688	6.309718791	1.113564961	5.666233236	1.46E-08	4.39E-07
ENSG00000188523.9	CFAP77	6.926400828	6.246236855	0.922990214	6.767392285	1.31E-11	1.18E-09
ENSG00000118113.12	MMP8	129.7626201	5.952419902	0.792047612	7.515229907	5.68E-14	1.03E-11
ENSG00000186417.14	GLDN	5.851904938	5.709565167	0.717099325	7.962028368	1.69E-15	4.84E-13
ENSG00000121454.6	LHX4	4.810175108	5.637984337	1.074891906	5.245164005	1.56E-07	3.16E-06
ENSG00000103175.11	WFDC1	14.42886763	5.602909842	0.715186832	7.834190434	4.72E-15	1.12E-12
ENSG00000211946.3	IGHV3-20	34.97716443	5.463253085	0.811894375	6.729019505	1.71E-11	1.46E-09
ENSG00000163958.14	ZDHHC19	25.51039923	5.458428507	0.757243483	7.208287203	5.67E-13	7.67E-11
ENSG00000211974.3	IGHV2-70D	5.831586848	5.286150956	0.980800051	5.389631608	7.06E-08	1.61E-06
ENSG00000012223.13	LTF	576.6600129	5.234975732	0.699611617	7.4826884	7.28E-14	1.30E-11
ENSG00000115884.11	SDC1	19.92898261	5.112126694	1.015391235	5.034637405	4.79E-07	8.01E-06
ENSG00000065618.21	COL17A1	4.640880547	5.090443447	0.993540252	5.123540228	3.00E-07	5.40E-06
ENSG00000146122.17	DAAM2	217.6138026	5.034697882	0.570357531	8.827266417	1.07E-18	9.13E-16
ENSG00000242766.1	IGKV1D-17	3.018816006	4.845847345	1.106832608	4.378121234	1.20E-05	0.0001141
ENSG00000183873.18	SCN5A	2.830584379	4.728419648	1.068363492	4.425852891	9.61E-06	9.53E-05
ENSG00000179869.15	ABCA13	230.4567686	4.700575001	0.660241059	7.119483005	1.08E-12	1.27E-10
ENSG00000103723.17	AP3B2	22.01206667	4.624495813	0.755497013	6.121130508	9.29E-10	4.46E-08
ENSG00000079393.21	DUSP13	3.950361455	4.574469058	0.790441011	5.787236487	7.16E-09	2.49E-07
ENSG00000173391.9	OLR1	11.16097214	4.436795962	1.104138894	4.018331376	5.86E-05	0.000432679
ENSG00000288393.1	ZNF75CP	2.349644654	4.427250645	1.085881314	4.077103628	4.56E-05	0.000350001
ENSG00000163959.10	SLC51A	3.815925968	4.403119254	0.788410131	5.584808059	2.34E-08	6.45E-07
ENSG00000122861.16	PLAU	11.79103972	4.376339883	0.716825604	6.105166809	1.03E-09	4.86E-08
ENSG00000170439.7	METTL7B	3.503955432	4.348596527	1.005356984	4.325425295	1.52E-05	0.000139765
ENSG00000157613.11	CREB3L1	3.385496445	4.270849796	1.237735224	3.450535876	0.000559475	0.002811029
ENSG00000175592.9	FOSL1	5.802529171	4.243531797	0.630142756	6.734238802	1.65E-11	1.43E-09
ENSG00000211896.7	IGHG1	1427.503556	4.177866673	0.537334845	7.775164242	7.53E-15	1.69E-12
ENSG00000066735.15	KIF26A	15.32056993	4.156294085	0.685275001	6.065147687	1.32E-09	6.03E-08
ENSG00000124469.12	CEACAM8	45.14307222	4.135960082	0.791773895	5.223663106	1.75E-07	3.46E-06
ENSG00000266265.4	KLF14	2.093977658	4.125056891	0.922343357	4.472365808	7.74E-06	7.96E-05
ENSG00000276566.1	IGKV1D-13	10.0512481	4.068066647	0.991503439	4.10292742	4.08E-05	0.000319014
ENSG00000156113.24	KCNMA1	36.48846551	4.06410327	0.788121244	5.156698033	2.51E-07	4.62E-06
ENSG00000228278.5	ORM2	1.473104606	4.011321804	1.22858529	3.264992538	0.00109467	0.004960188
ENSG00000101187.16	SLCO4A1	7.732755263	3.980628278	0.635900308	6.259830712	3.85E-10	2.14E-08
ENSG00000172232.10	AZU1	30.15240059	3.973928413	0.720452589	5.515877759	3.47E-08	8.96E-07
ENSG00000102539.5	MLNR	1.709330572	3.972837511	0.934039114	4.253395231	2.11E-05	0.000184534
ENSG00000122641.11	INHBA	6.064656656	3.951054225	0.872751916	4.527121803	5.98E-06	6.37E-05
ENSG00000109321.11	AREG	14.37862048	3.950956835	0.521005138	7.583335643	3.37E-14	6.42E-12
ENSG00000115414.21	FN1	29.11042037	3.898962613	0.563535027	6.918758238	4.56E-12	4.43E-10
ENSG00000100234.12	TIMP3	3.882471764	3.886965869	0.709997985	5.474615354	4.38E-08	1.07E-06
ENSG00000104067.17	TJP1	2.988018908	3.87772722	0.894603304	4.334577352	1.46E-05	0.000134888
ENSG00000164821.5	DEFA4	16.98339816	3.866798093	0.835299712	4.629234319	3.67E-06	4.35E-05
ENSG00000162510.6	MATN1	3.80608672	3.866699322	0.825336887	4.684995163	2.80E-06	3.48E-05
ENSG00000161835.11	TAMALIN	60.42040426	3.865171135	0.42142596	9.171649354	4.66E-20	5.81E-17
ENSG00000278857.1	IGKV1D-12	2.780638548	3.857111509	0.977282616	3.94677184	7.92E-05	0.00055263
ENSG00000086548.9	CEACAM6	11.16326243	3.851460286	1.017153398	3.786508792	0.000152779	0.000958606
ENSG00000136244.12	IL6	4.300044193	3.848314569	0.805717803	4.776256098	1.79E-06	2.38E-05
ENSG00000240864.3	IGKV1-16	15.34290626	3.840129654	0.612572603	6.268856355	3.64E-10	2.04E-08
ENSG00000134827.8	TCN1	11.10738382	3.83764988	0.787798052	4.871362487	1.11E-06	1.58E-05
ENSG00000170801.10	HTRA3	6.452920556	3.836560121	0.913618329	4.199302926	2.68E-05	0.000226545
ENSG00000224940.9	PRRT4	6.959645406	3.816785461	0.678671206	5.623909525	1.87E-08	5.37E-07
ENSG00000064270.13	ATP2C2	9.812668421	3.788340387	0.666594349	5.68312707	1.32E-08	4.09E-07
ENSG00000102837.7	OLFM4	29.68580667	3.759807659	0.798368635	4.709362935	2.48E-06	3.14E-05
ENSG00000224041.3	IGKV3D-15	2.674160675	3.758216454	0.999340574	3.760696354	0.000169441	0.00104358
ENSG00000229314.6	ORM1	9.449930266	3.754919226	0.785561168	4.779919603	1.75E-06	2.35E-05
ENSG00000106070.20	GRB10	249.4042168	3.742176918	0.347553768	10.76718845	4.92E-27	1.35E-23
ENSG00000159189.12	C1QC	8.12835947	3.735463849	0.588801199	6.344185199	2.24E-10	1.37E-08
ENSG00000211640.4	IGLV6-57	19.84517829	3.733941532	0.662901844	5.632721593	1.77E-08	5.17E-07
ENSG00000054598.9	FOXC1	6.385330818	3.733368628	0.700120417	5.332466439	9.69E-08	2.11E-06
ENSG00000223350.2	IGLV9-49	10.22625286	3.718093854	0.78143178	4.758053034	1.95E-06	2.58E-05
ENSG00000170891.11	CYTL1	1.511653271	3.711543629	0.962065223	3.857891899	0.000114369	0.000749135
ENSG00000099998.19	GGT5	9.645163434	3.698766031	0.733881316	5.040005722	4.66E-07	7.83E-06
ENSG00000273983.1	H3C8	37.93938031	3.694268968	0.455429289	8.111619211	4.99E-16	1.67E-13
ENSG00000211670.2	IGLV3-9	19.42160159	3.678559632	0.910925594	4.038265755	5.38E-05	0.000402933
ENSG00000160180.17	TFF3	1.471964778	3.665353106	1.20032965	3.053622066	0.002260967	0.009009711
ENSG00000179094.16	PER1	542.5693967	3.633504509	0.288442772	12.59696848	2.19E-36	3.01E-32
ENSG00000183160.9	TMEM119	20.19255874	3.619406702	0.487158459	7.42962918	1.09E-13	1.81E-11
ENSG00000176236.6	RPP38-DT	1.327227755	3.615471573	0.953995689	3.789819614	0.000150757	0.000948019
ENSG00000244242.2	IFITM10	5.425355697	3.583121535	0.639569075	5.602399605	2.11E-08	5.98E-07
ENSG00000163083.6	INHBB	4.438518268	3.578663548	0.622072843	5.752804654	8.78E-09	2.95E-07
ENSG00000105376.5	ICAM5	5.646368006	3.576883954	0.664225385	5.385045554	7.24E-08	1.64E-06
ENSG00000162949.16	CAPN13	5.73326949	3.575657548	0.719472632	4.969831222	6.70E-07	1.05E-05
ENSG00000214140.11	PRCD	4.112574206	3.572081348	0.806277788	4.4303358	9.41E-06	9.37E-05
ENSG00000158089.15	GALNT14	36.74729334	3.571726485	0.445084189	8.024833445	1.02E-15	3.32E-13
ENSG00000211658.2	IGLV3-27	1.818708374	3.53669741	0.93103193	3.798685412	0.000145466	0.000919874
ENSG00000166741.8	NNMT	2.83138805	3.518650712	0.930362951	3.782019382	0.000155561	0.000971178
ENSG00000005381.8	MPO	67.53994714	3.518497555	0.572990891	6.140582004	8.22E-10	4.03E-08
ENSG00000115590.14	IL1R2	886.2297344	3.515623296	0.461769482	7.613372978	2.67E-14	5.16E-12
ENSG00000123119.12	NECAB1	2.131417562	3.502405259	1.216393624	2.879335431	0.003985142	0.014346512
ENSG00000187323.12	DCC	1.173481541	3.498763396	1.164525751	3.004453437	0.002660585	0.010337842
ENSG00000129538.14	RNASE1	6.870220107	3.498243538	0.722928932	4.83898677	1.31E-06	1.82E-05
ENSG00000225523.2	IGKV6D-21	1.298805642	3.498124456	1.34936033	2.592431671	0.009530011	0.028938152
ENSG00000101188.5	NTSR1	22.82344595	3.493785532	0.688619095	5.073611169	3.90E-07	6.75E-06
ENSG00000069696.7	DRD4	2.189443963	3.493698172	0.84231423	4.147737326	3.36E-05	0.000273487
ENSG00000177606.8	JUN	279.8180321	3.488509276	0.406921766	8.57292375	1.01E-17	6.02E-15
ENSG00000260001.7	TGFBR3L	2.160625861	3.461439299	0.858133034	4.03368611	5.49E-05	0.000409308
ENSG00000161860.8	SYCE2	0.924576065	3.452624162	1.40305416	2.460791793	0.013863079	0.039189199
ENSG00000157343.9	ARMC12	2.544711143	3.444868866	0.716936712	4.804983216	1.55E-06	2.12E-05
ENSG00000178752.16	ERFE	17.76653325	3.428509403	0.854601929	4.011820341	6.03E-05	0.000442769
ENSG00000170091.11	NSG2	2.252129977	3.426345855	0.977017647	3.506943672	0.000453285	0.002364876
ENSG00000198929.13	NOS1AP	1.675986673	3.419245659	0.736778855	4.640803189	3.47E-06	4.15E-05
ENSG00000089558.9	KCNH4	1.149700689	3.416516909	1.11659419	3.059765974	0.0022151	0.0088604
ENSG00000008438.5	PGLYRP1	57.54439137	3.41219917	0.647771148	5.267599799	1.38E-07	2.84E-06
ENSG00000157554.19	ERG	12.1630629	3.405628256	0.682412109	4.990574187	6.02E-07	9.75E-06
ENSG00000112379.9	ARFGEF3	1.204248884	3.403602619	1.012927722	3.36016336	0.000778964	0.003712394
ENSG00000111641.12	NOP2	4.092960085	3.398714393	0.682108459	4.982659795	6.27E-07	1.00E-05
ENSG00000139572.4	GPR84	9.319669199	3.394899625	0.515048269	6.591420318	4.36E-11	3.27E-09
ENSG00000100985.7	MMP9	625.8502232	3.388893934	0.440935754	7.685686413	1.52E-14	3.21E-12
ENSG00000272636.4	DOC2B	5.500129058	3.382398669	0.758940472	4.456737773	8.32E-06	8.43E-05
ENSG00000100906.11	NFKBIA	1488.011632	3.373420273	0.270705893	12.46156942	1.21E-35	8.30E-32
ENSG00000181577.16	C6orf223	4.324385463	3.361062636	1.002821325	3.351606665	0.000803441	0.003806561
ENSG00000162482.5	AKR7A3	1.170962927	3.354943371	1.027044012	3.266601365	0.001088468	0.004935349
ENSG00000108821.14	COL1A1	1.01181827	3.345101915	0.948627912	3.526252889	0.000421484	0.002225203
ENSG00000108950.12	FAM20A	6.811715941	3.343667127	0.726962567	4.599503852	4.23E-06	4.85E-05
ENSG00000164556.7	FAM183BP	1.824908314	3.329200279	1.010111329	3.295874607	0.000981158	0.004522031
ENSG00000125968.9	ID1	5.949663726	3.321259209	0.681686009	4.872124653	1.10E-06	1.58E-05
ENSG00000281990.1	IGHV1-69-2	5.728209963	3.320049766	0.875364065	3.792764517	0.000148979	0.000938201
ENSG00000183844.17	FAM3B	2.226513848	3.293681913	1.123059887	2.932774958	0.003359473	0.012534965
ENSG00000223648.4	IGHV3-64	4.444817173	3.291199164	0.876969945	3.752921276	0.000174786	0.001069296
ENSG00000115155.19	OTOF	10.0072392	3.279419307	1.034663922	3.169550264	0.00152675	0.006496927
ENSG00000211650.2	IGLV5-45	5.074260093	3.270113151	0.797531733	4.100292211	4.13E-05	0.000322118
