"","Intrahepatic cholangiocyte","NK Cell","Monocyte","Macrophage","Secretory cell","Respiratory ciliated cell","Ionocyte/luminal epithelial cell of mammary gland","Fibroblast/mesenchymal stem cell","Respiratory secretory cell","Mast cell","Basal cell","Endothelial cell","neutrophil","B cell","T Cell","Erythrocyte/erythroid progenitor","Platelet","Basophil","Stromal cell","Mature conventional dendritic cell","Adventitial cell","Gland cell","Salivary/bronchial secretory cell","Pericyte cell","Myeloid progenitor","Pancreatic Stellate cell","Pancreatic alpha/beta cell","Basal prostate cell","Prostate epithelia","Salivary gland cell","Intestinal enterocyte","Intestinal secretory cell","Intestinal tuft cell","Type II Pneumocyte","Cell of skeletal muscle","Schwann cell","Tendon cell","Mesothelial cell","Plasmablast","Kidney epithelial cell","Thymocyte"
"prevail_cu_cfrna_9",0.0565762632244032,0.0580626377516309,0.00021334257585256,0.00526704121138495,0.000159115795506896,0.176565942051407,0.00011067851836627,0.0452326815225685,9.92318688978321e-05,0.000323302545734942,0.0323529193977063,0.0133770492536132,0.00553894855626643,0.00678238167444228,0.000281929705754386,0.00129627982730809,0.0161640544587092,0.00217007804921202,0.000104881952134211,0.00110065721638569,0.0598823368765792,0.000177065521034697,0.000216656916913923,0.0607225961065878,0.0361857093727686,0.000110647596254598,0.0912719884513406,0.000125703578839157,0.0688460131090254,0.0172867014784369,0.0701371817401688,0.01146264281292,0.0446569470191767,0.00235009121396045,0.000148809483101385,0.0277302881633489,0.0331754670124355,0.0100478750103579,9.79216884724607e-05,0.0249469195867936,0.0186410201041982
"prevail_cu_cfrna_10",0.052528861882527,0.0614686971144964,6.76760617551616e-05,0.00472761755972614,9.5181372072232e-05,0.183694957164082,6.5191410131887e-05,0.0447458230660759,5.45322400402254e-05,8.66079042259734e-05,0.0349083028035917,0.00445016162585157,0.00147768217377906,0.0114683094393019,0.000453040926218156,0.00547266233744899,0.0209597410575842,0.00168107325500486,6.34190707852924e-05,0.000693359776906544,0.0683197511259981,6.26973206430211e-05,9.22235911011357e-05,0.0578995908479788,0.0390230091050944,6.48954935709751e-05,0.0821474860610662,8.24803928586941e-05,0.0646258262859301,0.0218820908716335,0.0598996678475233,0.018270146509426,0.0447992503737877,0.00187590958529043,0.000207643388812114,0.0226577927374507,0.0304251210319431,0.00939295146096976,3.97716072760921e-05,0.0264781807416435,0.0225906153783972
"prevail_cu_cfrna_11",0.0516903557613256,0.0490081831290973,9.97777542894999e-05,0.00424567395715905,8.26168223602596e-05,0.195737041431904,3.67481178357701e-05,0.0424522925437842,4.11981442164134e-05,0.000269250488325921,0.0282647625871753,0.00442388136784294,0.00097288450183929,0.0107053626748931,0.000282596066743822,0.000719615078790223,0.0333352819599833,0.00245749985280346,3.21360486307727e-05,0.000906679192179762,0.0698286162056928,6.67625190073793e-05,8.33681750741307e-05,0.0639262868031874,0.0262480082476533,5.33185574556622e-05,0.0886178016495063,5.47071165222079e-05,0.0637880200472293,0.0255134939370584,0.065657953883361,0.0124645410909031,0.0458719586678012,0.00109460063331941,5.72907968543758e-05,0.0218733277339884,0.0341284395129857,0.0127268127266918,4.90598710554899e-05,0.0220089410179558,0.0201228533255171
"prevail_cu_cfrna_12",0.0123040562091423,0.0253329711331083,0.000141487489281668,0.00598211661361332,0.000560658981199685,0.0345553748151333,0.000292960966269762,0.0109122571982085,0.000149295405596629,0.00251057821694148,0.00469228827877011,0.00682632198204352,0.0144847142520832,0.00446675194185442,0.01572375310383,0.000164773862661447,0.714236729149661,0.000770061626932587,0.0033643672035897,0.000153109703356395,0.00532546358896808,0.000140717393767351,0.000208009032298071,0.014516336413801,0.00836874181406578,0.000164275852506166,0.0132912192560189,0.000145523846135263,0.00799161769758842,0.0023935831958274,0.0271442123526174,0.000439097555210723,0.0317092359226943,0.00021822619336861,0.000164375390651817,0.00889914028856232,0.00725934004885399,0.00109835988323084,7.08380793386675e-05,0.00653314484207436,0.00629391321914342
"prevail_cu_cfrna_13",0.042638664188173,0.0594294890965458,0.000648383103947843,0.0160900557090841,0.000314529384557811,0.145952899521596,0.000782950282396459,0.0384956724183777,0.000199891078813543,0.00125421870042441,0.0249376903610231,0.0128448665447813,0.0121943940853966,0.00654495856411432,0.00125832396139395,0.000469762133442003,0.1507777453289,0.00267277945818035,0.000233017119260879,0.0015446986246236,0.0480338081582478,0.000492463910252612,0.000516252797267018,0.051437854869285,0.0405026811478124,0.000307284593469942,0.0636974410775831,0.000495041361051301,0.046638692046395,0.0105069768434655,0.0596022901237124,0.00555965694043428,0.050938511664757,0.000952269713338971,0.00028821059227532,0.0217605310973479,0.0261587163046849,0.00634748312874731,0.000170183077633342,0.0226867951154517,0.0236218657717547
"prevail_cu_cfrna_14",0.0487653568963069,0.0779867920231691,0.000132607545766546,0.00980458073959975,9.42544035949616e-05,0.157670740118077,5.68470335798133e-05,0.0454061498468645,3.8608557756712e-05,0.00037230489633602,0.0292723714891959,0.017592612631935,0.00785091421776187,0.0193869559703774,0.000635051332949993,0.000104324211670011,0.0513384090577027,0.00295209651630946,6.48557971223185e-05,0.00053222374415816,0.0489304102319255,5.51600734523865e-05,8.44265464673363e-05,0.0549384135250084,0.0572519264290407,5.41910652681632e-05,0.0717752753504489,6.67568852340202e-05,0.0534995307212894,0.0176446230086268,0.0508003325958205,0.00855697718461901,0.0459276493098366,0.00137896696935091,8.07006082077479e-05,0.0253666581264952,0.0310863491357575,0.00991217539226337,4.6413675576415e-05,0.0273768608608502,0.0251081452742273
"prevail_cu_cfrna_15",0.0454827234579897,0.0568598985096137,8.92761913129558e-05,0.00325365565548611,7.09222387320388e-05,0.164995354125929,3.62947028517296e-05,0.0383527439912378,2.61501689190438e-05,0.000137819637177038,0.0288273810812701,0.00998374993024855,0.0664143117846736,0.00986759009415015,0.00023787992524859,0.00074854333919385,0.0247549275083197,0.00338317440879593,2.44906334681858e-05,0.000162532014874418,0.058160969352052,4.294001453977e-05,5.89819605615709e-05,0.044936051250635,0.0901380544745199,3.67788893413955e-05,0.0667509244340424,4.58212228180294e-05,0.0544667655024653,0.0212327090465489,0.0480220248978573,0.00910049851170878,0.0371125761002824,0.00118198967750383,5.16392106252473e-05,0.0231154135401818,0.0283950164000665,0.0104155700847381,2.94598817412216e-05,0.0261902603453048,0.0268061358029738
"prevail_cu_cfrna_5",1.12075392724732e-05,9.99176982642664e-06,9.24247740891358e-06,9.03662965584298e-06,9.76812227507835e-06,2.53415089412813e-05,9.88243088801663e-06,7.37600334329612e-06,1.28847335621868e-05,8.93328956316622e-06,5.86935510946775e-06,1.56105856682756e-05,7.2914348477377e-06,0.248736921297629,1.45508721632953e-05,5.30416974782086e-06,9.21301608280297e-06,1.14534070749556e-05,8.48014856215156e-06,0.0484174106827795,7.50706412786418e-06,1.04149220559525e-05,1.05022772702091e-05,8.86641000409219e-06,0.680178247075879,1.24806748626747e-05,2.48066649780426e-05,1.63013447097183e-05,8.82896185846005e-06,1.08020629322513e-05,8.19179461547858e-06,8.4852378431027e-06,0.019980125253228,2.35048699693704e-05,1.14519061078391e-05,1.84695728161857e-05,1.07505965749789e-05,9.86213873800065e-06,2.34687336006536e-05,2.43169736509138e-05,0.00224684598977542
"prevail_cu_cfrna_16",6.83282101979576e-06,4.785568788967e-06,4.06168828914832e-06,3.45112761540866e-06,5.11681976084839e-06,9.15213430316998e-05,3.87183751354639e-06,4.37971938363737e-06,5.16951920086004e-06,5.32306641697598e-06,4.37183516738853e-06,8.86750894658106e-06,2.53408353263159e-06,0.247311655900745,6.06794180969548e-06,1.44807310727578e-06,3.36623691656967e-06,5.33617667326863e-06,3.77054594438123e-06,0.0515690315340309,4.70413938478024e-06,5.20040195602691e-06,6.28008077081676e-06,3.47088196617772e-06,0.676117871630727,7.80437285927081e-06,1.23372528595719e-05,6.55128544036483e-06,3.84388910516179e-06,6.72039110759242e-06,4.29718717872649e-06,4.03936249191705e-06,0.0221283344154304,1.43610532640199e-05,4.97579209760641e-06,6.40497920897705e-06,5.44965786619383e-06,3.83898268033841e-06,3.88685741917511e-05,6.9465135251922e-06,0.00255673580799392
"prevail_cu_cfrna_18",0.00458924499183954,0.0682071049746672,0.0647564213514283,0.00234765190577569,0.000383646365967545,0.00708254689188554,0.000123981797499559,0.000382081657580803,0.000124342258918688,0.000304507167140331,0.000348245297635068,0.0573692560326394,0.0236883041126195,0.000360882848604649,0.081871338462184,0.0106191528460321,0.569485209163888,0.000146221261562083,0.00750953398933467,0.000112522448146448,0.000158766600242369,0.000147199070691218,0.000210626132229401,0.00141995509718076,0.0371412781336141,0.000151759604554317,0.00158768776342369,0.000105944124591956,0.000202045985616109,0.000548298717196592,0.00521887820329393,0.0001792929459748,0.0416185874146525,9.34549440568192e-05,0.000844454451754507,0.00680750164500718,0.000813766265955198,0.000254484206672791,3.88017998190927e-05,0.00100445547277187,0.00164056559535137
