gene	gene_name	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
ENSG00000087116.16	ADAMTS2	71.0206471	8.383782996	0.749653987	11.18353686	4.91E-29	1.15E-25
ENSG00000204936.10	CD177	75.58210445	6.257472081	0.545617772	11.46860018	1.90E-30	6.69E-27
ENSG00000115155.19	OTOF	50.95043	6.191714135	0.664713067	9.314867491	1.22E-20	1.08E-17
ENSG00000152463.15	OLAH	9.151814371	6.041749139	0.801809218	7.535145521	4.88E-14	7.48E-12
ENSG00000165949.12	IFI27	728.0391477	5.958543499	0.489214885	12.17980828	3.98E-34	1.87E-30
ENSG00000175592.9	FOSL1	18.01498043	5.598579866	0.585119558	9.568266509	1.09E-21	1.18E-18
ENSG00000108821.14	COL1A1	4.387130816	5.378327517	1.170079469	4.596548916	4.30E-06	5.70E-05
ENSG00000078053.17	AMPH	5.296864252	5.286689416	0.698125461	7.572692463	3.66E-14	6.00E-12
ENSG00000115414.21	FN1	34.53219024	4.810223652	0.620454333	7.752744071	8.99E-15	1.95E-12
ENSG00000169174.11	PCSK9	2.531053788	4.744327124	1.151673461	4.119507209	3.80E-05	0.000345089
ENSG00000159189.12	C1QC	9.981816571	4.660537189	0.563765942	8.266794498	1.38E-16	5.71E-14
ENSG00000101203.16	COL20A1	2.807177456	4.507005481	0.894969755	5.035930492	4.76E-07	9.14E-06
ENSG00000125968.9	ID1	7.791120225	4.494775682	0.567538944	7.919766091	2.38E-15	6.11E-13
ENSG00000183873.18	SCN5A	2.921007037	4.474197813	1.024333825	4.367909858	1.25E-05	0.000138762
ENSG00000135424.18	ITGA7	14.82448895	4.44559526	0.436220042	10.19117609	2.17E-24	3.83E-21
ENSG00000088340.17	FER1L4	3.49674633	4.433309791	0.592807701	7.478495618	7.52E-14	1.09E-11
ENSG00000100906.11	NFKBIA	2590.454999	4.393534481	0.384781897	11.41824633	3.39E-30	9.57E-27
ENSG00000177606.8	JUN	427.1355121	4.37212383	0.330098055	13.24492454	4.83E-40	6.81E-36
ENSG00000188523.9	CFAP77	1.809041015	4.289701911	1.131126749	3.792414876	0.000149189	0.001074398
ENSG00000108950.12	FAM20A	10.12358205	4.172325764	0.546643228	7.632630481	2.30E-14	4.16E-12
ENSG00000161835.11	TAMALIN	84.24022076	4.124040028	0.446911207	9.227873378	2.76E-20	2.16E-17
ENSG00000221949.6	LINC01465	9.078614809	4.053592767	0.59030044	6.866999398	6.56E-12	5.80E-10
ENSG00000126266.3	FFAR1	4.127124316	4.038223737	0.754934999	5.349101237	8.84E-08	2.19E-06
ENSG00000120738.8	EGR1	244.4137328	3.996941707	0.306602559	13.03623075	7.61E-39	5.37E-35
ENSG00000260001.7	TGFBR3L	2.463800039	3.967573176	0.700913422	5.660575262	1.51E-08	4.88E-07
ENSG00000173369.17	C1QB	12.61386786	3.9518761	0.498319438	7.930407288	2.18E-15	5.71E-13
ENSG00000196415.10	PRTN3	4.026261487	3.941368266	0.927148963	4.251062584	2.13E-05	0.000213288
ENSG00000088827.13	SIGLEC1	237.0664499	3.934909879	0.434362726	9.059041303	1.32E-19	8.44E-17
ENSG00000118503.15	TNFAIP3	1534.942257	3.930867208	0.365119141	10.76598505	4.98E-27	1.00E-23
ENSG00000187608.10	ISG15	405.6997714	3.874250444	0.425350117	9.108379868	8.36E-20	5.83E-17
ENSG00000146122.17	DAAM2	84.13096291	3.835467121	0.627801209	6.10936562	1.00E-09	4.85E-08
ENSG00000129538.14	RNASE1	10.29401939	3.777291917	0.554421092	6.813037909	9.56E-12	8.13E-10
ENSG00000244242.2	IFITM10	5.876163156	3.771910414	0.461094752	8.180336905	2.83E-16	1.11E-13
ENSG00000269720.2	CCDC194	3.977886109	3.771382447	0.557593164	6.76368128	1.35E-11	1.10E-09
ENSG00000111641.12	NOP2	4.958439171	3.766365305	0.519468943	7.250414785	4.15E-13	4.89E-11
ENSG00000133101.10	CCNA1	3.969321588	3.750116204	0.752343219	4.984581648	6.21E-07	1.14E-05
ENSG00000125508.4	SRMS	2.748593493	3.748190572	0.936258234	4.003372613	6.24E-05	0.000518179
ENSG00000162772.17	ATF3	23.59315474	3.745750863	0.4377901	8.556042874	1.17E-17	5.69E-15
ENSG00000183831.7	ANKRD45	1.210004283	3.718103877	0.917230595	4.053619556	5.04E-05	0.00043671
ENSG00000121454.6	LHX4	1.543212873	3.709561416	0.984088303	3.769541215	0.000163548	0.001158293
ENSG00000149131.17	SERPING1	109.658365	3.70191215	0.472178088	7.840076115	4.50E-15	1.06E-12
ENSG00000163661.4	PTX3	16.88397254	3.691873357	0.453804993	8.135374033	4.11E-16	1.49E-13
ENSG00000288393.1	ZNF75CP	1.317160783	3.68983792	0.904149092	4.081006053	4.48E-05	0.000396823
ENSG00000125740.14	FOSB	242.2633109	3.686431426	0.404312815	9.117770415	7.67E-20	5.70E-17
ENSG00000186417.14	GLDN	1.630152908	3.668887351	0.820669633	4.470602061	7.80E-06	9.33E-05
ENSG00000163666.10	HESX1	1.950632134	3.664158546	0.841280061	4.355456303	1.33E-05	0.000144848
ENSG00000178803.12	ADORA2A-AS1	3.232911726	3.605567844	0.742625575	4.855162499	1.20E-06	1.98E-05
ENSG00000002726.21	AOC1	8.217959111	3.597993246	0.964543727	3.730254156	0.000191287	0.001316907
ENSG00000065618.21	COL17A1	1.483176594	3.595643448	0.825278185	4.356886581	1.32E-05	0.000144351
ENSG00000130222.11	GADD45G	11.70702978	3.587925845	0.496148247	7.231560054	4.77E-13	5.57E-11
ENSG00000118113.12	MMP8	19.82695193	3.587454681	0.453299432	7.914094799	2.49E-15	6.28E-13
ENSG00000185022.12	MAFF	104.7367676	3.533993854	0.438882519	8.05225476	8.13E-16	2.67E-13
ENSG00000188290.11	HES4	25.91987557	3.509394719	0.57020295	6.154641463	7.52E-10	3.73E-08
ENSG00000154099.18	DNAAF1	1.792719844	3.471738489	1.084910176	3.200023898	0.001374162	0.006611957
ENSG00000179094.16	PER1	461.8827674	3.448470746	0.341510597	10.09769763	5.66E-24	8.87E-21
ENSG00000078098.14	FAP	2.230063873	3.429038497	0.921187504	3.722410997	0.000197329	0.001348816
ENSG00000177294.7	FBXO39	7.530288702	3.415288911	0.484354321	7.051220071	1.77E-12	1.80E-10
