gene	gene_name	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
ENSG00000157613.11	CREB3L1	2.047719643	2.656375413	0.670056408	3.964405657	7.36E-05	0.003333122
ENSG00000163958.14	ZDHHC19	34.13933749	2.551242838	0.397777853	6.413737765	1.42E-10	5.70E-08
ENSG00000099998.19	GGT5	8.654486185	2.331974151	0.456560724	5.107697684	3.26E-07	5.00E-05
ENSG00000123119.12	NECAB1	2.062640027	2.285456408	0.63464871	3.601136144	0.00031683	0.008844017
ENSG00000174358.16	SLC6A19	20.98014601	2.244584727	0.462847046	4.84951723	1.24E-06	0.000136238
ENSG00000135424.18	ITGA7	73.61250878	2.144381732	0.358899387	5.974882686	2.30E-09	6.83E-07
ENSG00000152463.15	OLAH	40.37184782	2.03351273	0.456463214	4.454932328	8.39E-06	0.000647177
ENSG00000103723.17	AP3B2	17.18063872	1.954172314	0.421796675	4.632972299	3.60E-06	0.000341679
ENSG00000118113.12	MMP8	85.99751649	1.907388639	0.402265331	4.741618254	2.12E-06	0.000217597
ENSG00000241657.1	TRBV11-2	6.361621153	1.890250032	0.352423492	5.363575571	8.16E-08	1.66E-05
ENSG00000204936.10	CD177	327.3311032	1.879083894	0.409703444	4.586448856	4.51E-06	0.000399616
ENSG00000119630.14	PGF	2.461471434	1.849919838	0.599894138	3.083743815	0.002044135	0.02965191
ENSG00000178752.16	ERFE	13.59451442	1.788494533	0.463481733	3.85882421	0.000113934	0.004403098
ENSG00000103175.11	WFDC1	11.02798804	1.774023058	0.477363489	3.716293978	0.000202166	0.006523808
ENSG00000148600.15	CDHR1	15.87243577	1.773405637	0.317879342	5.578864058	2.42E-08	5.60E-06
ENSG00000224041.3	IGKV3D-15	2.023579109	1.768245874	0.503224564	3.513830607	0.000441694	0.010863294
ENSG00000118520.15	ARG1	125.0733167	1.761481074	0.318170996	5.536271671	3.09E-08	6.80E-06
ENSG00000229314.6	ORM1	6.92368804	1.737256446	0.477260915	3.640055977	0.000272579	0.007933263
ENSG00000204345.1	CD300LD	2.535225824	1.726011969	0.492322328	3.505857585	0.000455139	0.01111604
ENSG00000123838.11	C4BPA	14.64159066	1.716586367	0.531966892	3.226866919	0.001251537	0.021391037
ENSG00000178342.4	KCNG2	6.562689436	1.691258386	0.497278451	3.401028905	0.000671327	0.014453655
ENSG00000240583.14	AQP1	21.35724501	1.661042575	0.329868905	5.035462722	4.77E-07	7.00E-05
ENSG00000276289.5	KCNE1B	3.711595077	1.64849518	0.396662157	4.155917453	3.24E-05	0.001761909
ENSG00000186583.12	SPATC1	12.5580809	1.638785125	0.367710505	4.456726425	8.32E-06	0.000645433
ENSG00000012223.13	LTF	323.3216847	1.627812281	0.419698882	3.878524223	0.000105092	0.004194464
ENSG00000211670.2	IGLV3-9	15.04717175	1.605222902	0.533246304	3.010284158	0.002610034	0.034138287
ENSG00000156113.24	KCNMA1	41.92369451	1.582095499	0.471041697	3.358716457	0.000783054	0.015835086
ENSG00000123836.15	PFKFB2	193.6836763	1.5722737	0.243326978	6.461567538	1.04E-10	4.42E-08
ENSG00000211946.3	IGHV3-20	19.95824746	1.564811002	0.411809189	3.799844794	0.000144787	0.005146716
ENSG00000137225.13	CAPN11	2.352319989	1.554487737	0.39375134	3.94789193	7.88E-05	0.003482843
